Date,vn5y_yield
2016-11-10,4.642740095531296
2016-11-14,4.636151657040751
2016-11-15,4.710148938817444
2016-11-16,4.6845062398147554
2016-11-17,4.881802024588664
2016-11-18,4.818688624550839
2016-11-21,4.9188008483370105
2016-11-22,5.056991447608094
2016-11-23,5.023243613969921
2016-11-25,4.873017767931407
2016-11-28,4.835272852267347
2016-11-29,4.902421162150679
2016-11-30,4.760989863460674
2016-12-01,4.919608506550077
2016-12-02,5.0090627470386675
2016-12-05,4.949287810545591
2016-12-06,5.1691726404944225
2016-12-07,4.869746792686792
2016-12-08,4.871830972014746
2016-12-09,4.96946767527079
2016-12-12,5.079738810669978
2016-12-13,5.069146927900709
2016-12-14,5.3571508717910605
2016-12-15,5.1540771136210966
2016-12-16,5.221295653201758
2016-12-19,5.254120216459883
2016-12-20,5.1857422980130785
2016-12-21,5.234926420584294
2016-12-22,5.230668461174194
2016-12-23,5.269696597651009
2016-12-27,5.0699722500513875
2016-12-28,5.239314301546882
2016-12-29,5.1204549139366105
2016-12-30,5.126739471912963
2017-01-03,5.078077780202783
2017-01-04,5.289353679432145
2017-01-05,4.839430234045871
2017-01-06,5.238739397446961
2017-01-09,4.993559450107025
2017-01-10,5.221992669522764
2017-01-11,5.186830653038754
2017-01-12,5.161803576705637
2017-01-13,5.166693339205673
2017-01-17,5.262064574760844
2017-01-18,5.042474104484501
2017-01-19,5.118355923928994
2017-01-20,5.123384646493768
2017-01-23,5.221958144373488
2017-01-24,5.071973409476637
2017-01-25,5.359429632714004
2017-01-26,5.218868648028608
2017-01-27,5.1183172635001615
2017-01-30,5.1236800192205525
2017-01-31,5.1240892695049505
2017-02-01,5.082463714752334
2017-02-02,5.2827565196429145
2017-02-03,5.341772122462244
2017-02-06,5.278683474905851
2017-02-07,5.100363502448083
2017-02-08,5.159973683315845
2017-02-09,5.177841786117586
2017-02-10,5.26458684070585
2017-02-13,5.269003811435173
2017-02-14,5.273600360830469
2017-02-15,5.114763524207268
2017-02-16,5.235935246159852
2017-02-17,5.242646026316747
2017-02-21,5.168015774893548
2017-02-22,5.205478938249199
2017-02-23,5.076346087553998
2017-02-24,5.106998211170549
2017-02-27,5.2455037177651445
2017-02-28,5.396598333160455
2017-03-01,5.195163951149629
2017-03-02,5.3237466308030985
2017-03-03,5.236672578004639
2017-03-06,5.329204061696947
2017-03-07,5.336694329184368
2017-03-08,5.486928971586506
2017-03-09,5.550588643638909
2017-03-10,5.456959878385709
2017-03-13,5.458694425228959
2017-03-14,5.579219786735342
2017-03-15,5.394944747644473
2017-03-16,5.545965796135375
2017-03-17,5.213236928128087
2017-03-20,5.53011842113828
2017-03-21,5.256391807142906
2017-03-22,5.172729418610874
2017-03-23,5.302060523796803
2017-03-24,5.1752933082063475
2017-03-27,5.324645725885314
2017-03-28,5.260536344355497
2017-03-29,5.3155453989091495
2017-03-30,5.222045068492507
2017-03-31,5.280464034998359
2017-04-03,5.269288865571087
2017-04-04,5.243604326413745
2017-04-05,5.431409013616849
2017-04-06,5.319594007177885
2017-04-07,5.3141029381453695
2017-04-10,5.098763913304306
2017-04-11,5.261873053866508
2017-04-12,5.348263529926166
2017-04-13,5.094205045801736
2017-04-17,5.165876237035917
2017-04-18,4.812603654698104
2017-04-19,5.016037532521388
2017-04-20,4.973574893348637
2017-04-21,5.190725610409914
2017-04-24,5.203580332530933
2017-04-25,5.264267595254172
