Date,fnb_ratio
2016-11-10,0.09934283060224654
2016-11-11,-0.02265378610872389
2016-11-14,0.13953030185864745
2016-11-15,0.3195809837786293
2016-11-16,-0.026889881551320084
2016-11-17,-0.02194297148582386
2016-11-18,0.34564296272073747
2016-11-21,0.18817021667572653
2016-11-22,-0.054367268515460164
2016-11-23,0.15284003971639387
2016-11-24,-0.04360433404306962
2016-11-25,-0.0393701000747588
2016-11-28,0.1068052056595044
2016-11-29,-0.3196712939259887
2016-11-30,-0.27749678441920667
2016-12-01,-0.040543675057564094
2016-12-02,-0.12630524142718957
2016-12-05,0.14337287442814897
2016-12-06,-0.0969084440949869
2016-12-07,-0.19368550452324537
2016-12-08,0.3858852242447714
2016-12-09,0.05147739298834651
2016-12-12,0.1139081169751547
2016-12-13,-0.18088888623082328
2016-12-14,-0.001273131270108127
2016-12-15,0.13321104592137878
2016-12-16,-0.11587242454738464
2016-12-19,0.1926386401132569
2016-12-20,0.0004135015704006678
2016-12-21,0.06511077039583253
2016-12-22,0.005879325275305075
2016-12-23,0.4993071798107164
2016-12-26,0.12863983802391704
2016-12-27,-0.07786108178196477
2016-12-28,0.300383386660245
2016-12-29,-0.1062519831061412
2016-12-30,0.181578581896035
2017-01-02,-0.25039437133872516
2017-01-03,-0.12252101752075367
2017-01-04,0.18390597498640365
2017-01-05,0.293484001203579
2017-01-06,0.18115932418266795
2017-01-09,0.12468780302062091
2017-01-10,0.08836428551933602
2017-01-11,-0.14651688748322703
2017-01-12,0.005655406311666444
2017-01-13,0.05776699742743738
2017-01-16,0.3614231661886428
2017-01-17,0.21865969836991805
2017-01-18,-0.20290125128051456
2017-01-19,0.21412798754172374
2017-01-20,0.07173326548460697
2017-01-23,0.012638587246277838
2017-01-24,0.26946705605748367
2017-01-25,0.3522770491309195
2017-01-26,0.3311162218868647
2017-01-27,-0.02436119402187273
2017-01-30,0.08010253798286926
2017-01-31,0.20650269988585646
2017-02-01,0.33350822056167617
2017-02-02,0.040559766454794255
2017-02-03,0.0971067020384471
2017-02-06,-0.0893337541585714
2017-02-07,-0.10975991981880312
2017-02-08,0.2893908789237315
